			Laufnummer	Autor, Herausgeber oder Institution	Titel	Zeitschrift/Zeitung	Kategorien	Schlagwörter
0	0	1	2068	Alkhalaileh, Duna; Hayford, Sarah R.; Norris, Alison H.; Gallo, Maria F.	Prevalence and attitudes on female genital mutilation/cutting in Egypt since criminalisation in 2008	Culture, Health & Sexuality	1 Sozialer Kontext; 1.1 Policies; 1.4 Identitäten; 1.4.1 Gender; 3 Fokus; 3.2 Kinderschutz und Gewaltprävention; 5 Adressat_innen; 5.2 Jugendliche; 6 Gewalt; 6.2 Art; 6.2.4 Übergriff	Ägypten // Egypt; Einstellungen // attitudes; Forschungsergebnisse // research results; Frauen // women; Genitalbeschneidung // Genital cutting; Gerichtsverhandlungen // judicial proceedings; Gesundheit // health; Gesundheitswesen // public health; Heirat // marriage; Jugend // youth; junge Erwachsene // young adults; Muslimische Länder // Muslim countries; Survey // survey
0	0	0	249	Allard, Troy; Rayment-McHugh, Sue; Adams, Dimity; Smallbone, Stephen; McKillop, Nadine	Responding to youth sexual offending	Journal of Sexual Aggression	1 Sozialer Kontext; 1.4 Identitäten; 1.4.1 Gender; 1.4.4 Ethnizität; 3 Fokus; 3.2 Kinderschutz und Gewaltprävention; 5 Adressat_innen; 5.2 Jugendliche; 6 Gewalt; 6.1 Täter*in; 6.1.1 Peer	Forschungsergebnisse // research results; Forschungslücken; jugendliche Täter*innen // adolescent sex offender; Jungen // boys
1	0	0	874	Allardyce, Stuart; Yates, Peter Michael	Assessing Risk of Victim Crossover with Children and Young People who display Harmful Sexual Behaviours	Child Abuse Review	5 Adressat_innen; 5.1 Kinder; 5.2 Jugendliche; 6 Gewalt; 6.1 Täter*in; 6.1.1 Peer; 6.2 Art; 6.2.4 Übergriff	Europa // Europe; Fallanalyse // case analysis; Geschwister // siblings; Jugend // youth; jugendliche Täter*innen // adolescent sex offender; Risiko // risk; Risikofaktoren // risk factors; sexuelle Gewalt // sexual violence; sexueller Kindesmissbrauch // child sexual abuse; sexuelles Verhalten // sexual behaviour; Täter*in // offender
0	1	0	1575	Allbaugh, Lucy Jane; O'Dougherty Wright, Margaret; Atkins Seltmann, Larissa	An exploratory study of domains of parenting concern among mothers who are childhood sexual abuse survivors	Journal of Child Sexual Abuse	1 Sozialer Kontext; 1.4 Identitäten; 1.4.1 Gender; 5 Adressat_innen; 5.1 Kinder; 5.3 Eltern und Familie; 6 Gewalt; 6.2 Art; 6.2.2 Missbrauch	Betroffene // survivors; Eltern // parents; Forschungsergebnisse // research results; Frauen // women; Kinder // children
0	0	0	2358	Alldred, Pam; Fox, Nick J.	Materialism and Micropolitics in Sexualities Education Research		3 Fokus; 3.1 Sexualpädagogik	Methodologie // methodology; Sexualerziehung // sex ed; Sexuelle Bildung // sexuality education
1	0	0	847	Allen, Louisa	‘Undoing’ the self	Pedagogy, Culture & Society	1 Sozialer Kontext; 1.4 Identitäten; 1.4.2 LGBT; 2 Institutioneller Kontext; 2.2 Einrichtungstypen; 2.2.5 Hochschule; 4 Fachkräfte; 4.1 Pädagogische FK	Coming out // coming out; Heteronormativität // heteronormativity; Heterosexualität // heterosexuality; Lehrer*innen // teachers; Nähe-Distanz-Regulation // boundary management; Professionalität // professionality; queer // queer; Sprache // language; Theorie // theory
1	0	1	931	Allen, Louisa	'Picture this'	Qualitative Research	2 Institutioneller Kontext; 2.2 Einrichtungstypen; 2.2.3 Weiterführende Schule; 5 Adressat_innen; 5.2 Jugendliche; 7 Sexualität; 7.1 Beziehungsgestaltung; 7.2 Selbstbestimmung; 7.3 Sexuelle Erfahrungen	Australien // Australia; Fokusgruppe // focus group; Forschungsergebnisse // research results; Jugend // youth; Methodologie // methodology; Schule // school; Schulklima // school climate; Sexualität // sexuality; Sexualkultur // sexuality culture
0	0	0	1836	Allen, Louisa	Boys as Sexy Bodies	Men and Masculinities	1 Sozialer Kontext; 1.2 Diskurse; 1.4 Identitäten; 1.4.1 Gender; 2 Institutioneller Kontext; 2.1 Dynamiken; 2.2 Einrichtungstypen; 2.2.3 Weiterführende Schule; 5 Adressat_innen; 5.2 Jugendliche; 7 Sexualität	Jungen // boys; Körper // body; Männlichkeit // masculinity; Schule // school; Schulklima // school climate
0	0	0	1322	Allen, Louisa	Pleasure´s Perils? Critically Reflecting on Pleasure´s Inclusion in Sexuality Education		1 Sozialer Kontext; 1.2 Diskurse; 3 Fokus; 3.1 Sexualpädagogik; 7 Sexualität; 7.2 Selbstbestimmung; 7.3 Sexuelle Erfahrungen	Sexualerziehung // sex ed; Vergnügen // pleasure
0	0	0	2359	Allen, Louisa	The Power of Things!		3 Fokus; 3.1 Sexualpädagogik	Methodologie // methodology; Sexualerziehung // sex ed; Sexuelle Bildung // sexuality education; Theorie // theory
0	0	0	2373	Allen, Louisa; Quinlivan, Kathleen	A Radical Plurality		1 Sozialer Kontext; 1.2 Diskurse; 1.4 Identitäten; 1.4.5 Religion; 3 Fokus; 3.1 Sexualpädagogik	Interkulturell // intercultural; Religion // religion; Sexualerziehung // sex ed; Sexuelle Bildung // sexuality education
1	0	1	1979	Allen, Louisa; Rasmussen, Mary Lou	The Palgrave Handbook of Sexuality Education		3 Fokus; 3.1 Sexualpädagogik	Handbuch // handbook; international // international; Sexualerziehung // sex ed; Sexuelle Bildung // sexuality education
0	0	1	580	Allen, Louisa; Rasmussen, Mary Louise; Quinlivan, Kathleen	The Politics of Pleasure in Sexuality Education		1 Sozialer Kontext; 1.2 Diskurse; 1.4 Identitäten; 1.4.1 Gender; 1.4.2 LGBT; 1.4.5 Religion; 3 Fokus; 3.1 Sexualpädagogik; 7 Sexualität	Gesundheit // health; Sexuelle Bildung // sexuality education; Vergnügen // pleasure
0	0	0	1313	Allen, Louisa; Rasmussen, Mary Louise; Quinlivan, Kathleen	Introduction		1 Sozialer Kontext; 1.2 Diskurse; 3 Fokus; 3.1 Sexualpädagogik; 7 Sexualität; 7.2 Selbstbestimmung; 7.3 Sexuelle Erfahrungen	Sexualerziehung // sex ed; Sexuelle Bildung // sexuality education; Vergnügen // pleasure
0	0	0	1875	Alleyne, Binta; Coleman-Cowger, Victoria H.; Crown, Laurel; Gibbons, Maya A.; Vines, Linda Nicole	The effects of dating violence, substance use and risky sexual behavior among a diverse sample of Illinois youth	Journal of Adolescence	3 Fokus; 3.2 Kinderschutz und Gewaltprävention; 5 Adressat_innen; 5.2 Jugendliche; 6 Gewalt; 6.1 Täter*in; 6.1.1 Peer; 6.2 Art; 6.2.4 Übergriff; 7 Sexualität; 7.1 Beziehungsgestaltung	Drogenkonsum // substance consumption; Forschungsergebnisse // research results; Gewalt in Beziehungen // dating violence; Jugend // youth; Risikoverhalten // risk behaviour; sexuelles Verhalten // sexual behaviour
1	0	0	877	Allnock, Debra; Radford, Lorraine; Bunting, Lisa; Price, Avril; Morgan-Klein, Natalie; Ellis, Jane; Stafford, Anne	In Demand	Child Abuse Review	5 Adressat_innen; 5.1 Kinder; 5.2 Jugendliche; 6 Gewalt; 6.2 Art; 6.2.2 Missbrauch; 6.4 Resilienz	Behandlung // treatment; Jugend // youth; Kinder // children; sexueller Kindesmissbrauch // child sexual abuse; Vergewaltigung // rape
1	0	1	2180	Allroggen, Marc; Rau, Thea; Ohlert, Jeannine; Fegert, Jörg M.	Lifetime prevalence and incidence of sexual victimization of adolescents in institutional care	Child Abuse & Neglect	1 Sozialer Kontext; 1.1 Policies; 2 Institutioneller Kontext; 2.1 Dynamiken; 2.2 Einrichtungstypen; 2.2.6 Jugendamt; 2.2.7 Kinder- und Jugendhilfe; 3 Fokus; 3.2 Kinderschutz und Gewaltprävention; 5 Adressat_innen; 5.2 Jugendliche; 6 Gewalt; 6.1 Täter*in; 6.1.1 Peer; 6.1.2 Erwachsene; 6.2 Art; 6.2.2 Missbrauch	Deutschland // Germany; Europa // Europe; Forschungsergebnisse // research results; Heim // residential care; institutioneller Missbrauch // institutional abuse; Jugend // youth; jugendliche Täter*innen // adolescent sex offender; junge Erwachsene // young adults; Peergewalt // peer violence
0	0	1	2089	Almog, Ran; Kaplan, Danny	The Nerd and His Discontent	Men and Masculinities	1 Sozialer Kontext; 1.4 Identitäten; 1.4.1 Gender; 3 Fokus; 3.1 Sexualpädagogik; 7 Sexualität; 7.1 Beziehungsgestaltung	Empowerment // empowerment; Geschlecht // gender; junge Erwachsene // young adults; Kommentar // commentary; Männer // men; Männlichkeit // masculinity; Nordamerika // North America
1	0	0	1181	Almond, Tracy Jane	Working with children and young people with harmful sexual behaviours	Journal of Sexual Aggression	4 Fachkräfte; 4.1 Pädagogische FK; 5 Adressat_innen; 5.1 Kinder; 5.2 Jugendliche; 6 Gewalt; 6.1 Täter*in; 6.1.1 Peer; 6.2 Art; 6.2.4 Übergriff; 7 Sexualität; 7.3 Sexuelle Erfahrungen	Betreuer*innen // caregiver; Europa // Europe; jugendliche Täter*innen // adolescent sex offender; Kinder // children; Organisation // organisation; Pädagogische Fachkräfte // pedagogial staff; Professionalität // professionality; sexuelle Gewalt // sexual violence; sexuelles Verhalten // sexual behaviour; Soziale Arbeit // social work
1	0	1	2163	Alzoubi, Fatmeh Ahmad; Ali, Reem Ahmad; Flah, Intesar Hussein; Alnatour, Ahlam	Mothers' knowledge & perception about child sexual abuse in Jordan	Child Abuse & Neglect	3 Fokus; 3.2 Kinderschutz und Gewaltprävention; 5 Adressat_innen; 5.3 Eltern und Familie; 6 Gewalt; 6.2 Art; 6.2.2 Missbrauch	Asien // Asia; Einstellungen // attitudes; Eltern // parents; Forschungsergebnisse // research results; Jordanien // Jordan; Muslimische Länder // Muslim countries; Mutter // mother; Prävention // prevention; sexueller Kindesmissbrauch // child sexual abuse; Survey // survey
0	0	0	1511	Anderson, Eric	Masculinity and homophobia in high school and college sports		1 Sozialer Kontext; 1.2 Diskurse; 1.4 Identitäten; 1.4.1 Gender; 1.4.2 LGBT; 2 Institutioneller Kontext; 2.2 Einrichtungstypen; 2.2.3 Weiterführende Schule; 2.2.3.1.1 Sportunterricht; 2.2.5 Hochschule; 4 Fachkräfte; 4.1 Pädagogische FK; 6 Gewalt; 6.2 Art; 6.2.5 Diskriminierung	Coming out // coming out; Ethnographie // ethnography; Homofeindlichkeit // homophobia; Homosexualität // homosexuality; Lehrer*innen // teachers; Männlichkeit // masculinity; Nordamerika // North America; Schule // school; Schulklima // school climate; schwul // gay; Sozialisation // socialization; Sport // sports; Stigmatisierung // stigma
1	0	0	1360	Anderson, Jane	Socialization Processes and Clergy Offenders	Journal of Child Sexual Abuse	1 Sozialer Kontext; 1.2 Diskurse; 2 Institutioneller Kontext; 2.2 Einrichtungstypen; 2.2.9 Kirche; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 6.2 Art; 6.2.2 Missbrauch	Christentum // christianity; Eltern // parents; Geistliche // clergy; Männlichkeit // masculinity; sexueller Kindesmissbrauch // child sexual abuse; Sozialisation // socialization; Täter*in // offender; Theorie // theory; Vulnerabilität // vulnerability
1	0	0	1092	Anderson, Gwendolyn D.	The Continuum of Disclosure	Journal of Child Sexual Abuse	1 Sozialer Kontext; 1.4 Identitäten; 1.4.4 Ethnizität; 6 Gewalt; 6.2 Art; 6.2.2 Missbrauch; 6.5 Disclosure	Aufdeckung // disclosure; Forschungsergebnisse // research results; Methodologie // methodology; sexueller Kindesmissbrauch // child sexual abuse
0	0	0	1830	Anderson, E.; McCormack, M.	Cuddling and Spooning	Men and Masculinities	1 Sozialer Kontext; 1.2 Diskurse; 1.4 Identitäten; 1.4.1 Gender; 2 Institutioneller Kontext; 2.1 Dynamiken; 2.2 Einrichtungstypen; 2.2.3 Weiterführende Schule; 2.2.3.1 Schulfächer; 2.2.3.1.1 Sportunterricht; 5 Adressat_innen; 5.2 Jugendliche; 7 Sexualität	Europa // Europe; Heteronormativität // heteronormativity; Intimität // intimacy; Jungen // boys; Körper // body; Männlichkeit // masculinity; Sport // sports
1	0	0	2319	Anderson, Mollie B.; Okwumabua, Theresa M.; Thurston, Idia B.	Condom Carnival	Sex Education	3 Fokus; 3.1 Sexualpädagogik; 4 Fachkräfte; 4.3 Peers; 6 Gewalt; 6.2 Art	Forschungsergebnisse // research results; Gruppensettings // group settings; Nordamerika // North America; Peergruppe // peer group; Prävention // prevention; Risiko // risk; sexuelle Gesundheit // sexual health; sexuelles Verhalten // sexual behaviour; USA // USA; Verhütung // contraception
0	0	1	2232	Arbeit, Miriam R.	"Make Sure You're Not Getting Yourself in Trouble"	The Journal of Sex Research	2 Institutioneller Kontext; 2.2 Einrichtungstypen; 2.2.11 Sonstige; 3 Fokus; 3.1 Sexualpädagogik; 3.2 Kinderschutz und Gewaltprävention; 5 Adressat_innen; 5.2 Jugendliche; 6 Gewalt; 6.1 Täter*in; 6.1.1 Peer; 6.2 Art; 6.2.2 Missbrauch; 7 Sexualität; 7.1 Beziehungsgestaltung	Forschungsergebnisse // research results; Grounded Theory // Grounded Theory; institutioneller Missbrauch // institutional abuse; Liebesbeziehung // romantic relationship; Nordamerika // North America; qualitative Interviews // qualitative interviews; quantitative Forschung // quantitative research; Sexualität // sexuality; sexuelle Gewalt // sexual violence; Universität // college; USA // USA
0	0	0	1925	Arrington-Sanders, Renata; Harper, Gary W.; Morgan, Anthony; Ogunbajo, Adedotun; Trent, Maria; Fortenberry, J. Dennis	The role of sexually explicit material in the sexual development of same-sex-attracted Black adolescent males	Archives of Sexual Behavior	1 Sozialer Kontext; 1.3 Medien und Technologie; 1.4 Identitäten; 1.4.2 LGBT; 1.4.4 Ethnizität; 5 Adressat_innen; 5.2 Jugendliche; 7 Sexualität	Forschungsergebnisse // research results; Identität // identity; Jugend // youth; Medien // media; Methodologie // methodology; Pornografie // pornography; schwul // gay; Sexuelle Orientierung // sexual orientation
1	0	1	2420	Asamoah, Benedict Oppong; Agardh, Anette	Individual- and Family-Level Determinants of Risky Sexual Behavior Among Swedish- and Foreign-Born Young Adults 18-30 Years of Age, Residing in Skåne, Sweden	Archives of Sexual Behavior	1 Sozialer Kontext; 1.4 Identitäten; 1.4.4 Ethnizität; 3 Fokus; 3.1 Sexualpädagogik; 5 Adressat_innen; 5.2 Jugendliche; 7 Sexualität; 7.3 Sexuelle Erfahrungen	Eltern // parents; Erwachsene // adults; Ethnizität // ethnicity; Europa // Europe; Forschungsergebnisse // research results; Gesundheitswesen // public health; Jugend // youth; junge Erwachsene // young adults; Risikoverhalten // risk behaviour; Schweden // Sweden; Sexualerziehung // sex ed; Sexuelle Bildung // sexuality education; sexuelles Verhalten // sexual behaviour; Survey // survey; Verhütung // contraception
1	0	0	1131	Asscher, Jessica J.; Put, Claudia E. van der; Stams, Geert Jan	Differences between juvenile offenders with and without intellectual disability in offense type and risk factors	Research in Developmental Disabilities	1 Sozialer Kontext; 1.4 Identitäten; 1.4.6 Behinderungen; 5 Adressat_innen; 5.2 Jugendliche; 6 Gewalt; 6.1 Täter*in; 6.1.1 Peer; 6.2 Art	Behinderung // disability; jugendliche Täter*innen // adolescent sex offender; Risikofaktoren // risk factors
0	0	0	1429	Atkinson, Becky	Apple Jumper, Teacher Babe, and Bland Uniformer Teachers: Fashioning Feminine Teacher Bodies		1 Sozialer Kontext; 1.4 Identitäten; 1.4.1 Gender; 2 Institutioneller Kontext; 2.2 Einrichtungstypen; 2.2.3 Weiterführende Schule; 4 Fachkräfte; 4.1 Pädagogische FK	Feminismus // feminism; Geschlecht // gender; Geschlechterrolle // gender role; Lehrer*innen // teachers; Nordamerika // North America; Schule // school; Weiblichkeit // femininity
0	0	0	1178	Atkinson, Chris; Newton, David	Online behaviours of adolescents	Journal of Sexual Aggression	1 Sozialer Kontext; 1.3 Medien und Technologie; 5 Adressat_innen; 5.2 Jugendliche; 6 Gewalt; 6.1 Täter*in; 6.2 Art; 6.2.4 Übergriff	Betroffene // survivors; Internet // Internet; Jugend // youth; Medien // media; Täter*in // offender; Vulnerabilität // vulnerability
0	0	0	1652	Atkinson, Julie P.; Ward, Karen M.	The Development of an Assessment of Interpersonal Violence for Individuals with Intellectual and Developmental Disabilities	Sexuality and Disability	1 Sozialer Kontext; 1.4 Identitäten; 1.4.6 Behinderungen; 3 Fokus; 3.2 Kinderschutz und Gewaltprävention; 6 Gewalt; 6.2 Art	Behinderung // disability; Gewalt // violence; Prävention // prevention
1	0	1	2432	Atteberry-Ash, Brittanie; Woodford, Michael R.	Support for Policy Protecting LGBT Student Athletes among Heterosexual Students Participating in Club and Intercollegiate Sports	Sexuality Research and Social Policy	1 Sozialer Kontext; 1.1 Policies; 1.4 Identitäten; 1.4.2 LGBT; 2 Institutioneller Kontext; 2.2 Einrichtungstypen; 2.2.5 Hochschule; 3 Fokus; 3.1 Sexualpädagogik; 3.2 Kinderschutz und Gewaltprävention; 5 Adressat_innen; 5.2 Jugendliche; 6 Gewalt; 6.2 Art; 6.2.5 Diskriminierung	Diskriminierung // discrimination; Einstellungen // attitudes; Forschungsergebnisse // research results; junge Erwachsene // young adults; Nordamerika // North America; Policies // policies; quantitative Forschung // quantitative research; queer // queer; Schutz // protection; Sport // sports; Student*innen // college students; Survey // survey; trans*ident // trans*; Universität // college; USA // USA
1	0	0	352	Attwood, Feona; Smith, Clarissa	Investigating young people's sexual cultures	Sex Education	1 Sozialer Kontext; 1.2 Diskurse; 3 Fokus; 3.1 Sexualpädagogik; 5 Adressat_innen; 5.2 Jugendliche; 7 Sexualität; 7.1 Beziehungsgestaltung; 7.3 Sexuelle Erfahrungen	Jugend // youth; Methodologie // methodology; Sexualkultur // sexuality culture; sexuelles Verhalten // sexual behaviour
0	0	0	1893	Ávila, Marisa; Cabral, Joana; Matos, Paula Mena	Identity in university students	Journal of Adolescence	1 Sozialer Kontext; 1.4 Identitäten; 2 Institutioneller Kontext; 2.2 Einrichtungstypen; 2.2.5 Hochschule; 3 Fokus; 3.1 Sexualpädagogik; 5 Adressat_innen; 5.2 Jugendliche; 5.3 Eltern und Familie; 7 Sexualität	Jugend // youth; Theorie // theory
1	0	1	2251	Axford, Nick; Berry, Vashti	Perfect Bedfellows	The British Journal of Social Work	2 Institutioneller Kontext; 2.2 Einrichtungstypen; 2.2.7 Kinder- und Jugendhilfe; 3 Fokus; 3.2 Kinderschutz und Gewaltprävention; 5 Adressat_innen; 5.1 Kinder	Europa // Europe; Großbritannien // Great Britain; Intervention // intervention; Kinder- und Jugendschutz // child protection; Kindesmissbrauch // child abuse; Kommentar // commentary; Soziale Arbeit // social work
1	0	1	2081	Aygor, Hamide; Altuntug, Kamile; Ege, Emel	The Views of Students on Sexual Health and Reproductive Health Course	Sexuality and Disability	2 Institutioneller Kontext; 2.2 Einrichtungstypen; 2.2.5 Hochschule; 3 Fokus; 3.1 Sexualpädagogik; 4 Fachkräfte; 4.2 Extern; 5 Adressat_innen; 5.2 Jugendliche	Asien // Asia; Europa // Europe; Forschungsergebnisse // research results; junge Erwachsene // young adults; Klinik // clinic; quantitative Forschung // quantitative research; Sexuelle Bildung // sexuality education; sexuelle Gesundheit // sexual health; Student*innen // college students; Survey // survey; Türkei // Turkey; Universität // college
0	0	0	1651	Aylaz, Rukuye; Yılmaz, Ulviye; Polat, Sevinç	Effect of Difficulties Experienced by Parents of Autistic Children on Their Sexual Life	Sexuality and Disability	1 Sozialer Kontext; 1.4 Identitäten; 1.4.6 Behinderungen; 5 Adressat_innen; 5.1 Kinder; 5.3 Eltern und Familie	Autismus // autism; Behinderung // disability; Eltern // parents; Kinder // children; Sexualität // sexuality
0	0	0	2272	Aymer, Cathy; Patni, Rachana	Identity, Emotion Work and Reflective Practice		1 Sozialer Kontext; 1.4 Identitäten; 1.4.2 LGBT; 1.4.4 Ethnizität; 1.4.5 Religion; 2 Institutioneller Kontext; 2.1 Dynamiken; 4 Fachkräfte; 4.1 Pädagogische FK	Gefühle // emotions; Schule // school; Sexualität // sexuality; sexuelle Identität // sexual identity; Soziale Arbeit // social work
