			Laufnummer	Autor, Herausgeber oder Institution	Titel	Zeitschrift/Zeitung	Kategorien	Schlagwörter
0	0	0	200	Gakhal, Baldeesh Kaur; Brown, Sarah J.	A comparison of the general public's, forensic professionals' and students' attitudes towards female sex offenders	Journal of Sexual Aggression	1 Sozialer Kontext; 1.2 Diskurse; 1.4 Identitäten; 1.4.1 Gender; 3 Fokus; 3.2 Kinderschutz und Gewaltprävention; 4 Fachkräfte; 4.2 Extern; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 6.2 Art; 6.2.2 Missbrauch; 8 Forschung; 8.4 Ergebnisse	Einstellungen // attitudes; Täter*in // offender
0	0	0	201	Nunes, Kevin L.; McPhail, Ian V.; Babchishin, Kelly M.	Social anxiety and sexual offending against children	Journal of Sexual Aggression	1 Sozialer Kontext; 1.4 Identitäten; 1.4.1 Gender; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 6.2 Art; 6.2.2 Missbrauch; 8 Forschung; 8.4 Ergebnisse	Angst // anxiety; Männer // men; Nordamerika // North America; sexueller Kindesmissbrauch // child sexual abuse; Täter*in // offender
0	0	0	202	Lambine, Mackenzie E.	Unsafe in the Ivory Tower	Journal of Sexual Aggression	1 Sozialer Kontext; 1.4 Identitäten; 1.4.1 Gender; 2 Institutioneller Kontext; 2.1 Dynamiken; 2.2 Einrichtungstypen; 2.2.5 Hochschule; 3 Fokus; 3.2 Kinderschutz und Gewaltprävention; 6 Gewalt; 6.2 Art; 6.2.4 Übergriff	sexuelle Gewalt // sexual violence; Sicherheit // safety; Student*innen // college students; Universität // college
0	0	0	203	Tidefors, Inga; Arvidsson, Hans; Rudolfsson, Lisa	Agreement between ratings from self-rating scales and assessments by treatment staff concerning a group of adolescent males who have sexually offended	Journal of Sexual Aggression	5 Adressat_innen; 5.2 Jugendliche; 6 Gewalt; 6.1 Täter*in; 6.1.1 Peer; 6.2 Art; 6.2.4 Übergriff	jugendliche Täter*innen // adolescent sex offender
0	0	0	204	Kemshall, Hazel; Kelly, Gill; Wilkinson, Bernadette	Child Sex Offender Public Disclosure Scheme	Journal of Sexual Aggression	1 Sozialer Kontext; 1.2 Diskurse; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene	Disclosure; Risiko // risk; Täter*in // offender
0	0	0	205	Willis, Gwenda M.; Johnston, Lucy	Planning helps	Journal of Sexual Aggression	1 Sozialer Kontext; 1.1 Policies; 1.4 Identitäten; 1.4.1 Gender; 2 Institutioneller Kontext; 2.2 Einrichtungstypen; 2.2.10 Justizvollzugsanstalt; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 6.2 Art; 6.2.2 Missbrauch	Frauen // women; Policies; sexueller Kindesmissbrauch // child sexual abuse; Strafrecht // criminal justice; Täter*in // offender
0	0	0	206	Yates, Peter; Allardyce, Stuart; MacQueen, Sarah	Children who display harmful sexual behaviour	Journal of Sexual Aggression	6 Gewalt; 6.1 Täter*in; 6.1.1 Peer; 6.2 Art; 6.2.4 Übergriff	Familie // family; Geschwister // siblings; Inzest // incest; jugendliche Täter*innen // adolescent sex offender; sexueller Kindesmissbrauch // child sexual abuse
0	0	0	207	Worling, James	The assessment and treatment of deviant sexual arousal with adolescents who have offended sexually	Journal of Sexual Aggression	6 Gewalt; 6.1 Täter*in; 6.1.1 Peer; 6.2 Art; 6.2.4 Übergriff	Behandlung // treatment; jugendliche Täter*innen // adolescent sex offender
0	0	0	208	Griffin, Helen Louise; Vettor, Shannon	Predicting sexual re-offending in a UK sample of adolescents with intellectual disabilities	Journal of Sexual Aggression	1 Sozialer Kontext; 1.4 Identitäten; 1.4.6 Behinderungen; 3 Fokus; 3.2 Kinderschutz und Gewaltprävention; 5 Adressat_innen; 5.2 Jugendliche; 6 Gewalt; 6.1 Täter*in; 6.1.1 Peer; 6.2 Art; 6.2.2 Missbrauch	Behinderung // disability; Jugend // youth; jugendliche Täter*innen // adolescent sex offender; Risiko // risk; sexueller Kindesmissbrauch // child sexual abuse
0	0	0	209	Edwards, Rachel; Whittaker, Mette Kristensen; Beckett, Richard; Bishopp, Daz; Bates, Andrew	Adolescents who have sexually harmed	Journal of Sexual Aggression	3 Fokus; 3.2 Kinderschutz und Gewaltprävention; 5 Adressat_innen; 5.2 Jugendliche; 6 Gewalt; 6.1 Täter*in; 6.1.1 Peer; 8 Forschung; 8.4 Ergebnisse; 8.5 Forschungslücken	Behandlung // treatment; jugendliche Täter*innen // adolescent sex offender; Risikofaktoren // risk factors
0	0	0	210	Masson, Helen; Balfe, Myles; Hackett, Simon; Phillips, Josie	Making use of historical case material	Journal of Sexual Aggression	5 Adressat_innen; 5.1 Kinder; 5.2 Jugendliche; 7 Sexualität; 8 Forschung; 8.1 Forschungsethik; 8.3 Methodologie	Forschung // research; Jugend // youth; Kinder // children; sexuelles Verhalten // sexual behaviour
0	0	0	211	Gwirayi, Pesanayi	The prevalence of child sexual abuse among secondary school pupils in Gweru, Zimbabwe	Journal of Sexual Aggression	2 Institutioneller Kontext; 2.2 Einrichtungstypen; 2.2.3 Weiterführende Schule; 3 Fokus; 3.2 Kinderschutz und Gewaltprävention; 5 Adressat_innen; 5.2 Jugendliche; 6 Gewalt; 6.2 Art; 6.2.2 Missbrauch; 8 Forschung; 8.4 Ergebnisse	Schule // school; Schüler*innen // pupils; sexueller Kindesmissbrauch // child sexual abuse
0	0	0	212	Mannix, Karyn; Dawson, David L.; Beckley, Kerry	The implicit theories of male child sexual offenders residing in a high secure psychiatric hospital	Journal of Sexual Aggression	1 Sozialer Kontext; 1.2 Diskurse; 2.2 Einrichtungstypen; 2.2.10 Justizvollzugsanstalt; 3 Fokus; 3.2 Kinderschutz und Gewaltprävention; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 6.2 Art; 6.2.2 Missbrauch; 8 Forschung; 8.4 Ergebnisse	Behandlung // treatment; Mentale Gesundheit // mental health; sexueller Kindesmissbrauch // child sexual abuse; Täter*in // offender
0	0	0	214	Stevens, Peter; Hutchin, Katie; French, Lesley; Craissati, Jackie	Developmental and offence-related characteristics of different types of adolescent sex offender	Journal of Sexual Aggression	1 Sozialer Kontext; 1.3 Medien und Technologie; 5 Adressat_innen; 5.2 Jugendliche; 6 Gewalt; 6.1 Täter*in; 6.1.1 Peer; 6.2 Art; 6.2.4 Übergriff	jugendliche Täter*innen // adolescent sex offender; Kinderpornographie // child pornography
0	0	0	215	Strömwall, Leif A.; Alfredsson, Helen; Landström, Sara	Rape victim and perpetrator blame and the Just World hypothesis	Journal of Sexual Aggression	1 Sozialer Kontext; 1.2 Diskurse; 1.4 Identitäten; 1.4.1 Gender; 5 Adressat_innen; 5.2 Jugendliche; 6 Gewalt; 6.2 Art; 6.2.3 Vergewaltigung	Einstellungen // attitudes; Geschlechterrolle // gender role; Rape Culture; sexuelle Gewalt // sexual violence; Vergewaltigung // rape; Victim-blaming
0	0	0	216	Williams, Matthew L.; Hudson, Kirsty	Public perceptions of internet, familial and localised sexual grooming	Journal of Sexual Aggression	1 Sozialer Kontext; 1.2 Diskurse; 1.3 Medien und Technologie; 3 Fokus; 3.2 Kinderschutz und Gewaltprävention; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 6.2 Art; 6.2.2 Missbrauch	Diskurs // discourse; Europa // Europe; Familie // family; Internet; Medien // media; sexueller Kindesmissbrauch // child sexual abuse
0	0	0	217	Makura, Alfred Henry; Zireva, Davison	School heads and mentors in cahoots?	Journal of Sexual Aggression	2 Institutioneller Kontext; 2.1 Dynamiken; 2.2 Einrichtungstypen; 2.2.2 Grundschule; 2.2.3 Weiterführende Schule; 3 Fokus; 3.2 Kinderschutz und Gewaltprävention; 4 Fachkräfte; 4.1 Intern; 4.2 Extern; 6 Gewalt; 6.2 Art; 6.2.1 Belästigung; 8 Forschung; 8.4 Ergebnisse	Lehrer*innen // Teachers; Schule // school; sexuelle Belästigung // sexual harassment
0	0	0	219	Merdian, Hannah Lena; Curtis, Cate; Thakker, Jo; Wilson, Nick; Boer, Douglas Pieter	The three dimensions of online child pornography offending	Journal of Sexual Aggression	1 Sozialer Kontext; 1.3 Medien und Technologie; 3 Fokus; 3.2 Kinderschutz und Gewaltprävention; 5 Adressat_innen; 5.1 Kinder; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 6.2 Art; 6.2.2 Missbrauch	Internet; Kinder // children; Pornografie // pornography; sexueller Kindesmissbrauch // child sexual abuse; Täter*in // offender
0	0	0	221	Smith, Connie; Allardyce, Stuart; Hackett, Simon; Bradbury-Jones, Caroline; Lazenbatt, Anne; Taylor, Julie	Practice and policy in the UK with children and young people who display harmful sexual behaviours	Journal of Sexual Aggression	1 Sozialer Kontext; 1.1 Policies; 5 Adressat_innen; 5.1 Kinder; 5.2 Jugendliche; 6 Gewalt; 6.1 Täter*in; 6.1.1 Peer; 6.2 Art; 6.2.4 Übergriff; 8 Forschung; 8.4 Ergebnisse	Behandlung // treatment; Europa // Europe; jugendliche Täter*innen // adolescent sex offender; Policies; sexuelles Verhalten // sexual behaviour; Übersicht // review
0	0	0	222	Lewis, Tiffany; Klettke, Bianca; Day, Andrew	Sentencing in child sexual assault cases	Journal of Sexual Aggression	6 Gewalt; 6.2 Art; 6.2.2 Missbrauch; 8 Forschung; 8.4 Ergebnisse	sexueller Kindesmissbrauch // child sexual abuse; Strafrecht // criminal justice
0	0	0	224	McManus, Michelle Ann; Almond, Louise	Trends of indecent images of children and child sexual offences between 2005/2006 and 2012/2013 within the United Kingdom	Journal of Sexual Aggression	1 Sozialer Kontext; 1.2 Diskurse; 3 Fokus; 3.2 Kinderschutz und Gewaltprävention; 5 Adressat_innen; 5.1 Kinder; 6 Gewalt; 6.2 Art; 6.2.2 Missbrauch	Kinder // children; sexueller Kindesmissbrauch // child sexual abuse; Strafrecht // criminal justice
1	0	0	226	Paquette, Sarah; Cortoni, Franca; Proulx, Jean; Longpre, Nicholas	An examination of implicit theories among francophone child molesters	Journal of Sexual Aggression	6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 6.2 Art; 6.2.2 Missbrauch	Ehtik // ethics; Einstellungen // attitudes; Nordamerika // North America; Pädosexualität // pedosexuality; sexueller Kindesmissbrauch // child sexual abuse; Täter*in // offender
0	0	0	227	Clements, Hannah; Dawson, David L.; das Nair, Roshan	Female-perpetrated sexual abuse	Journal of Sexual Aggression	1 Sozialer Kontext; 1.2 Diskurse; 1.4 Identitäten; 1.4.1 Gender; 4 Fachkräfte; 4.2 Extern; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 6.2 Art; 6.2.2 Missbrauch; 8 Forschung; 8.3 Methodologie	Betroffene // survivors; Einstellungen // attitudes; Frauen // women; sexueller Kindesmissbrauch // child sexual abuse; Täter*in // offender; Übersicht // review
0	0	0	228	White, Jacquelyn; Buehler, Cheryl; Weymouth, Bridget B.	Childhood attention deficit hyperactive disorder (ADHD) symptoms and adolescent female sexual victimisation	Journal of Sexual Aggression	1 Sozialer Kontext; 1.4 Identitäten; 1.4.6 Behinderungen; 5 Adressat_innen; 5.1 Kinder; 5.2 Jugendliche; 6 Gewalt; 6.2 Art; 6.2.2 Missbrauch; 6.3 Negative Folgen	Mentale Gesundheit // mental health; sexueller Kindesmissbrauch // child sexual abuse
0	0	0	229	Maxwell, Louise; Scott, Graham	A review of the role of radical feminist theories in the understanding of rape myth acceptance	Journal of Sexual Aggression	1 Sozialer Kontext; 1.2 Diskurse; 1.4 Identitäten; 1.4.1 Gender; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 6.2 Art; 6.2.3 Vergewaltigung; 8 Forschung; 8.2 Theorie	Betroffene // survivors; Feminismus // feminism; Geschlecht // gender; Geschlechterrolle // gender role; Täter*in // offender; Übersicht // review; Vergewaltigung // rape
0	0	0	230	Hall, Charlotte L.; Hogue, Todd E.; Guo, Kun	Gaze patterns to child figures reflect deviant sexual preference in child sex offenders—a first glance	Journal of Sexual Aggression	3 Fokus; 3.2 Kinderschutz und Gewaltprävention; 5 Adressat_innen; 5.1 Kinder; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 6.2 Art; 6.2.2 Missbrauch; 8 Forschung; 8.4 Ergebnisse	sexueller Kindesmissbrauch // child sexual abuse; Täter*in // offender
0	0	0	231	Gray, Jacqueline M.	What constitutes a “reasonable belief” in consent to sex?	Journal of Sexual Aggression	1 Sozialer Kontext; 1.2 Diskurse; 3 Fokus; 3.2 Kinderschutz und Gewaltprävention; 6 Gewalt; 6.2 Art; 6.2.3 Vergewaltigung; 8 Forschung; 8.4 Ergebnisse	Konsens // consent; Vergewaltigung // rape; Vulnerabilität // vulnerability
0	0	0	232	McManus, Michelle Ann; Long, Matthew L.; Alison, Laurence; Almond, Louise	Factors associated with contact child sexual abuse in a sample of indecent image offenders	Journal of Sexual Aggression	1 Sozialer Kontext; 1.3 Medien und Technologie; 3 Fokus; 3.2 Kinderschutz und Gewaltprävention; 5 Adressat_innen; 5.1 Kinder; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 6.2 Art; 6.2.2 Missbrauch; 8 Forschung; 8.4 Ergebnisse	Kinder // children; Pornografie // pornography; Risiko // risk; Risikofaktoren // risk factors; sexueller Kindesmissbrauch // child sexual abuse; Täter*in // offender
0	0	0	233	King, Laura L.; Hanrahan, Kathleen J.	University student beliefs about sexual violence in prison	Journal of Sexual Aggression	1 Sozialer Kontext; 1.2 Diskurse; 2 Institutioneller Kontext; 2.2 Einrichtungstypen; 2.2.5 Hochschule; 6 Gewalt; 6.2 Art; 6.2.3 Vergewaltigung	Student*innen // college students; Vergewaltigung // rape; Victim-blaming
0	0	0	234	Babchishin, Kelly M.; Nunes, Kevin L.; Hermann, Chantal A.; Malcom, J. Renee	Implicit sexual interest in children	Journal of Sexual Aggression	1 Sozialer Kontext; 1.4 Identitäten; 1.4.1 Gender; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 8 Forschung; 8.3 Methodologie; 8.4 Ergebnisse	Pädosexualität // pedosexuality; sexuelles Verhalten // sexual behaviour; Täter*in // offender
0	0	0	235	Williamson, Laura Helen; Grubb, Amy Rose	An analysis of the relationship between being deaf and sexual offending	Journal of Sexual Aggression	1 Sozialer Kontext; 1.4 Identitäten; 1.4.6 Behinderungen; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene	Behinderung // disability; Sprache // language; Täter*in // offender
0	0	0	236	Lambie, Ian; Price, Mnthali	Transitioning youth with sexually harmful behaviour back into the community	Journal of Sexual Aggression	3 Fokus; 3.2 Kinderschutz und Gewaltprävention; 5 Adressat_innen; 5.2 Jugendliche; 6 Gewalt; 6.1 Täter*in; 6.1.1 Peer; 8 Forschung; 8.4 Ergebnisse	Jugend // youth; jugendliche Täter*innen // adolescent sex offender
0	0	0	237	Cowburn, Malcolm; Gill, Aisha K.; Harrison, Karen	Speaking about sexual abuse in British South Asian communities	Journal of Sexual Aggression	1 Sozialer Kontext; 1.2 Diskurse; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 6.2 Art; 6.2.2 Missbrauch	Betroffene // survivors; Diskurs // discourse; sexueller Kindesmissbrauch // child sexual abuse; Täter*in // offender
0	0	0	241	Huitema, Anneloes; Vanwesenbeeck, Ine	Attitudes of Dutch citizens towards male victims of sexual coercion by a female perpetrator	Journal of Sexual Aggression	1 Sozialer Kontext; 1.2 Diskurse; 1.4 Identitäten; 1.4.1 Gender; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 8 Forschung; 8.4 Ergebnisse	Einstellungen // attitudes; Geschlecht // gender; Täter*in // offender
0	0	0	242	Park, Jisun; Kim, Seunghee	Group size does matter	Journal of Sexual Aggression	6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 6.2 Art; 6.2.4 Übergriff; 8 Forschung; 8.4 Ergebnisse	Asien // Asia; Gruppensettings // group settings; sexuelle Gewalt // sexual violence; Täter*in // offender; Vergewaltigung // rape
0	0	0	243	Willis, Gwenda M.; Levenson, Jill S.	The relationship between childhood adversity and adult psychosocial outcomes in females who have sexually offended	Journal of Sexual Aggression	6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 6.3 Negative Folgen	Behandlung // treatment; sexueller Kindesmissbrauch // child sexual abuse; Täter*in // offender; Trauma; Vergewaltigung // rape
0	0	0	244	Pritchard, Duncan; Graham, Nicola; Penney, Heather; Owen, Gwynne; Peters, Sandra; Mace, F. Charles	Multi-component behavioural intervention reduces harmful sexual behaviour in a 17-year-old male with autism spectrum disorder	Journal of Sexual Aggression	5 Adressat_innen; 5.2 Jugendliche; 6 Gewalt; 6.1 Täter*in; 6.1.1 Peer; 6.2 Art; 6.2.4 Übergriff; 6.4 Resilienz	Aggression; Autismus // autism; Behandlung // treatment; Behinderung // disability; jugendliche Täter*innen // adolescent sex offender
0	0	0	245	Yoder, Jamie; Ruch, Donna	A qualitative investigation of treatment components for families of youth who have sexually offended	Journal of Sexual Aggression	5 Adressat_innen; 5.2 Jugendliche; 5.3 Eltern und Familie; 6 Gewalt; 6.1 Täter*in; 6.1.1 Peer; 6.2 Art; 6.2.4 Übergriff	Behandlung // treatment; Familie // family; jugendliche Täter*innen // adolescent sex offender; Vergewaltigung // rape
0	0	0	246	Ingevaldson, Sara; Goulding, Anneli; Tidefors, Inga	Experiences of intimate relationships in young men who sexually offended during adolescence	Journal of Sexual Aggression	1 Sozialer Kontext; 1.4 Identitäten; 1.4.1 Gender; 5 Adressat_innen; 5.2 Jugendliche; 6 Gewalt; 6.1 Täter*in; 6.1.1 Peer; 7 Sexualität; 7.1 Beziehungsgestaltung; 8 Forschung; 8.3 Methodologie; 8.4 Ergebnisse	Beziehungsgestaltung // relationships; jugendliche Täter*innen // adolescent sex offender; Männer // men
0	0	0	248	Mitchell, Renae C.; Galupo, M. Paz	Interest in child molestation among a community sample of men sexually attracted to children	Journal of Sexual Aggression	6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 6.2 Art; 6.2.2 Missbrauch; 8 Forschung; 8.4 Ergebnisse	Pädosexualität // pedosexuality; sexueller Kindesmissbrauch // child sexual abuse; Täter*in // offender
0	0	0	249	Allard, Troy; Rayment-McHugh, Sue; Adams, Dimity; Smallbone, Stephen; McKillop, Nadine	Responding to youth sexual offending	Journal of Sexual Aggression	1 Sozialer Kontext; 1.4 Identitäten; 1.4.1 Gender; 1.4.4 Ethnizität; 3 Fokus; 3.2 Kinderschutz und Gewaltprävention; 5 Adressat_innen; 5.2 Jugendliche; 6 Gewalt; 6.1 Täter*in; 6.1.1 Peer; 8 Forschung; 8.4 Ergebnisse; 8.5 Forschungslücken	jugendliche Täter*innen // adolescent sex offender; Jungen // boys
0	0	0	250	Kemshall, Hazel; Moulden, Heather M.	Communicating about child sexual abuse with the public	Journal of Sexual Aggression	1 Sozialer Kontext; 1.2 Diskurse; 6 Gewalt; 6.2 Art; 6.2.2 Missbrauch	Diskurs // discourse; sexueller Kindesmissbrauch // child sexual abuse
0	0	0	251	Harper, Craig A.; Bartels, Ross M.	The influence of implicit theories and offender characteristics on judgements of sexual offenders	Journal of Sexual Aggression	1 Sozialer Kontext; 1.2 Diskurse; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 8 Forschung; 8.3 Methodologie; 8.4 Ergebnisse	Einstellungen // attitudes; Täter*in // offender
0	0	0	252	Ventus, Daniel; Antfolk, Jan; Salo, Benny	The associations between abuse characteristics in child sexual abuse	Journal of Sexual Aggression	6 Gewalt; 6.2 Art; 6.2.2 Missbrauch	Familie // family; Prävalenz // prevalence; Risikofaktoren // risk factors; sexueller Kindesmissbrauch // child sexual abuse
0	0	0	253	Tsagaris, George S.; Bach, Jesse E.; Cimino, Chrisa	The characteristics of federal offenders sentenced for sexual exploitation of children within a large urban metropolitan region	Journal of Sexual Aggression	1 Sozialer Kontext; 1.3 Medien und Technologie; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 6.2 Art; 6.2.2 Missbrauch	Kinderpornographie // child pornography; Nordamerika // North America; sexueller Kindesmissbrauch // child sexual abuse; Täter*in // offender
