			Autor, Herausgeber oder Institution	Jahr ermittelt	Dokumententyp	Zeitschrift/Zeitung	Titel	Kategorien	Schlagwörter	Laufnummer
0	0	0	Cromer, Lisa DeMarni; Goldsmith, Rachel E.	2010	Zeitschriftenaufsatz	Journal of Child Sexual Abuse	Child sexual abuse myths	1 Sozialer Kontext; 1.2 Diskurse; 5 Adressat_innen; 5.1 Kinder; 6 Gewalt; 6.2 Art; 6.2.2 Missbrauch; 8 Forschung; 8.4 Ergebnisse	Child Behavior; Child Welfare/statistics & numerical data; Cultural Characteristics; Humans; Kinder; sexueller Kindesmissbrauch; Social Environment; Social Perception; Stereotyping; Survivors/statistics & numerical data	1620
1	0	0	Daddis, Christopher; Randolph, Danielle	2010	Zeitschriftenaufsatz	Journal of Adolescence	Dating and disclosure:	1 Sozialer Kontext; 1.4 Identitäten; 1.4.1 Gender; 5 Adressat_innen; 5.2 Jugendliche; 6 Gewalt; 7 Sexualität; 7.1 Beziehungsgestaltung; 7.2 Selbstbestimmung	Entwicklung // development; Kinder; Offenlegung // disclosure	969
1	0	0	DePalma, Renée; Atkinson, Elizabeth	2010	Zeitschriftenaufsatz	Teaching and Teacher Education	The nature of institutional heteronormativity in primary schools and practice-based responses	1 Sozialer Kontext; 1.2 Diskurse; 1.4 Identitäten; 1.4.2 LGBT; 2 Institutioneller Kontext; 2.1 Dynamiken; 2.2 Einrichtungstypen; 2.2.2 Grundschule; 2.2.3 Schule; 5 Adressat_innen; 5.2 Jugendliche; 6 Gewalt; 6.2 Art; 6.2.5 Diskriminierung	Grundschule // elementary school; Heteronormativität // heteronormativity; Homofeindlichkeit // homophobia	857
0	0	0	Doty, Nathan Daniel; Willoughby, Brian L. B.; Lindahl, Kristin M.; Malik, Neena M.	2010	Zeitschriftenaufsatz	Journal of Youth and Adolescence	Sexuality related social support among lesbian, gay, and bisexual youth	1 Sozialer Kontext; 1.4 Identitäten; 1.4.2 LGBT; 3 Fokus; 3.2 Gewaltprävention; 5 Adressat_innen; 5.2 Jugendliche; 8 Forschung; 8.4 Ergebnisse; 8.5 Forschungslücken	Bisexualität // bisexuality; Jugendliche und junge Erwachsene; lesbisch // lesbian; Resilienz // resilience; schwul // gay; Social Support	1778
1	0	0	Doughty, Adam H.; Kane, Lindsey M.	2010	Zeitschriftenaufsatz	Research in Developmental Disabilities	Teaching abuse-protection skills to people with intellectual, disabilities	1 Sozialer Kontext; 1.4 Identitäten; 1.4.6 Behinderungen; 3 Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.2 Art; 6.2.2 Missbrauch	Behinderung // disability; Prävention // prevention; Schutz // protection; Sexueller Missbrauch // sexual abuse; Sicherheit // safety	1128
0	0	0	Elliott, Ian A.; Findlater, Donald; Hughes, Teresa	2010	Zeitschriftenaufsatz	Journal of Sexual Aggression	Practice report	1 Sozialer Kontext; 1.3 Medien und Technologie; 3 Fokus; 3.2 Gewaltprävention; 5 Adressat_innen; 5.1 Kinder; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 6.2 Art; 6.2.2 Missbrauch	Internet; Sicherheit // safety; Täter*in // offender	191
1	0	1	Embregts, P.; Bogaard, K. van den; Hendriks, L.; Heestermans, M.; Schuitemaker, M.; Wouwe, H. van	2010	Zeitschriftenaufsatz	Research in Developmental Disabilities	Sexual risk assessment for people with intellectual disabilities	1 Sozialer Kontext; 1.4 Identitäten; 1.4.6 Behinderungen; 3 Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene	Behinderung // disability; Risikofaktoren // risk factors; Täter*in // offender	1129
1	0	0	Endo, Hidehiro; Reece-Miller, Paul Chamness; Santavicca, Nicholas	2010	Zeitschriftenaufsatz	Teaching and Teacher Education	Surviving in the trenches	1 Sozialer Kontext; 1.4 Identitäten; 1.4.2 LGBT; 4 Fachkräfte; 4.1 Intern	Lehrer*innen // Teachers; Narration // narrative; queer; Stereotype // stereotypes	858
1	0	0	Ferfolja, Tania	2010	Zeitschriftenaufsatz	Teaching and Teacher Education	Lesbian teachers, harassment and the workplace	1 Sozialer Kontext; 1.4 Identitäten; 1.4.2 LGBT; 2 Institutioneller Kontext; 2.2 Einrichtungstypen; 2.2.3 Schule; 4 Fachkräfte; 4.1 Intern; 6 Gewalt; 6.2 Art; 6.2.1 Belästigung	Gewalt am Arbeitsplatz // violence in the workplace; Lehrer*innen // Teachers; lesbisch // lesbian; Schule // school; sexuelle Belästigung // sexual harassment	860
0	0	0	Fitzpatrick, Kevin M.; Dulin, Akilah; Piko, Bettina	2010	Zeitschriftenaufsatz	Journal of Youth and Adolescence	Bullying and depressive symptomatology among low-income, African-American youth	1 Sozialer Kontext; 1.4 Identitäten; 1.4.3 Schicht; 1.4.4 Ethnizität; 3 Fokus; 3.2 Gewaltprävention; 5 Adressat_innen; 5.2 Jugendliche; 6 Gewalt; 6.2 Art; 6.2.4 Übergriff; 8 Forschung; 8.4 Ergebnisse	Depression; Jugendliche und junge Erwachsene; Mobbing // bullying	1776
0	0	0	Froyum, Carissa M.	2010	Zeitschriftenaufsatz	Culture, Health & Sexuality	Making 'good girls'	1 Sozialer Kontext; 1.4 Identitäten; 1.4.3 Schicht; 1.4.4 Ethnizität; 3 Fokus; 3.1 Sexualpädagogik; 5 Adressat_innen; 5.2 Jugendliche; 7 Sexualität; 7.2 Selbstbestimmung	Child; Female; Humans; Interviews as Topic; Jugendliche und junge Erwachsene; Male; Morals; Poverty; Prejudice; schwarz // black; Sex Education; Sexual Abstinence; United States; Urban Population	1789
1	0	0	Gerouki, Margarita	2010	Zeitschriftenaufsatz	Sex Education: Sexuality, Society and Learning	The boy who was drawing princesses	1 Sozialer Kontext; 1.4 Identitäten; 1.4.1 Gender; 1.4.2 LGBT; 2 Institutioneller Kontext; 2.1 Dynamiken; 2.2 Einrichtungstypen; 2.2.2 Grundschule; 2.2.3 Schule; 4 Fachkräfte; 4.1 Intern; 5 Adressat_innen; 5.1 Kinder; 6 Gewalt; 6.2 Art; 6.2.5 Diskriminierung	Grundschule // elementary school; Homofeindlichkeit // homophobia; Jungen // boys; Kinder; Lehrer*innen // Teachers; Männlichkeit // masculinity; queer; Schule // school; Schüler*innen // pupils; Schulklima // school climate	995
1	0	0	Gilbert, Jen	2010	Zeitschriftenaufsatz	Sex Education: Sexuality, Society and Learning	Ambivalence only?	1 Sozialer Kontext; 1.2 Diskurse; 3 Fokus; 3.1 Sexualpädagogik	Diskurs // discourse; Sexuelle Abstinenz // abstinence; Sexuelle Bildung // sexuality education	992
1	0	0	Gill, Michael	2010	Zeitschriftenaufsatz	Sexuality Research and Social Policy	Rethinking Sexual Abuse, Questions of Consent, and Intellectual Disability	1 Sozialer Kontext; 1.2 Diskurse; 1.4 Identitäten; 1.4.6 Behinderungen; 2 Institutioneller Kontext; 2.1 Dynamiken; 2.2 Einrichtungstypen; 2.2.4 Sonderschule; 4 Fachkräfte; 4.1 Intern; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 6.2 Art; 6.2.2 Missbrauch; 6.2.4 Übergriff; 7 Sexualität; 7.2 Selbstbestimmung	Behinderung // disability; Ehtik // ethics; Konsens // consent; sexuelle Gewalt // sexual violence; Sexueller Missbrauch // sexual abuse; Strafrecht // criminal justice	816
0	0	0	Gillespie, Alisdair	2010	Zeitschriftenaufsatz	Journal of Sexual Aggression	Legal definitions of child pornography	1 Sozialer Kontext; 1.1 Policies; 5 Adressat_innen; 5.1 Kinder; 6 Gewalt; 6.2 Art; 6.2.2 Missbrauch	Gesetzlich / legal; Kinder; Pornografie // pornography	1689
0	0	0	Glasgow, David	2010	Zeitschriftenaufsatz	Journal of Sexual Aggression	The potential of digital evidence to contribute to risk assessment of internet offenders	1 Sozialer Kontext; 1.3 Medien und Technologie; 3 Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene	Internet; Pornografie // pornography; Risiko // risk; Täter*in // offender	186
0	0	0	Goldman, Juliette	2010	Zeitschriftenaufsatz	Sex Education: Sexuality, Society and Learning	The new sexuality education curriculum for Queensland primary schools	1 Sozialer Kontext; 1.1 Policies; 2 Institutioneller Kontext; 2.2 Einrichtungstypen; 2.2.3 Schule; 3 Fokus; 3.1 Sexualpädagogik	Curriculum; Grundschule // elementary school; Sexuelle Bildung // sexuality education	986
1	0	0	Greslé-Favier, Claire	2010	Zeitschriftenaufsatz	Sex Education: Sexuality, Society and Learning	The legacy of abstinence-only discourses and the place of pleasure in US discourses on teenage sexuality	1 Sozialer Kontext; 1.2 Diskurse; 3 Fokus; 3.1 Sexualpädagogik; 5 Adressat_innen; 5.2 Jugendliche; 7 Sexualität; 7.2 Selbstbestimmung; 7.3 Sexuelle Erfahrungen	Diskurs // discourse; Jugendliche und junge Erwachsene; Sexualität // sexuality; Sexuelle Abstinenz // abstinence; Vergnügen // pleasure	998
0	0	0	Henry, Olivia; Mandeville-Norden, Rebecca; Hayes, Elizabeth; Egan, Vincent	2010	Zeitschriftenaufsatz	Journal of Sexual Aggression	Do internet-based sexual offenders reduce to normal, inadequate and deviant groups?	1 Sozialer Kontext; 1.3 Medien und Technologie; 3 Fokus; 3.2 Gewaltprävention; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 8 Forschung; 8.4 Ergebnisse	Internet; Pädosexualität // pedosexuality; Täter*in // offender	184
1	0	0	Jackson, Sue; Weatherall, Ann	2010	Zeitschriftenaufsatz	Feminism & Psychology	The (Im)possibilities of Feminist School Based Sexuality Education	1 Sozialer Kontext; 1.4 Identitäten; 1.4.1 Gender; 2 Institutioneller Kontext; 2.2 Einrichtungstypen; 2.2.3 Schule; 3 Fokus; 3.1 Sexualpädagogik; 4 Fachkräfte; 4.1 Intern; 5 Adressat_innen; 5.2 Jugendliche; 7 Sexualität; 7.2 Selbstbestimmung	Feminismus // feminism; Geschlecht // gender; Sexuelle Bildung // sexuality education	866
1	0	0	James, Adilia E. E.	2010	Zeitschriftenaufsatz	Sexuality Research and Social Policy	Too Early to Talk About Sex?	1 Sozialer Kontext; 1.2 Diskurse; 1.4 Identitäten; 1.4.4 Ethnizität; 2 Institutioneller Kontext; 2.2 Einrichtungstypen; 2.2.2 Grundschule; 2.2.3 Schule; 3 Fokus; 3.1 Sexualpädagogik; 5 Adressat_innen; 5.1 Kinder; 6 Gewalt; 6.2 Art; 6.2.1 Belästigung; 7 Sexualität; 7.3 Sexuelle Erfahrungen; 8 Forschung; 8.1 Forschungsethik	Ethnizität // ethnicity; Feminismus // feminism; Grundschule // elementary school; Interkulturell // intercultural; Intersektionalität // intersectionality; jugendliche Täter*innen // adolescent sex offender; Jugendliche und junge Erwachsene; kindliche Sexualität // childhood sexuality; queer; schwarz // black; Sexualerziehung // sex ed; Sexuelle Bildung // sexuality education	815
1	0	1	Kenny, Maureen C.	2010	Zeitschriftenaufsatz	Children and Youth Services Review	Child sexual abuse education with ethnically diverse families	1 Sozialer Kontext; 1.4 Identitäten; 1.4.4 Ethnizität; 2 Institutioneller Kontext; 3 Fokus; 3.2 Gewaltprävention; 5 Adressat_innen; 5.3 Eltern; 6 Gewalt; 6.2 Art; 6.2.2 Missbrauch	Ethnizität // ethnicity; Prävention // prevention; Psychologie // psychology; sexueller Kindesmissbrauch	907
0	0	0	Leonard, Marcella Mary	2010	Zeitschriftenaufsatz	Journal of Sexual Aggression	“I did what I was directed to do but he didn't touch me”	1 Sozialer Kontext; 1.3 Medien und Technologie; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 6.2 Art; 6.2.4 Übergriff; 6.3 Negative Folgen	Internet; Opfer // victim; Trauma // trauma	1179
1	0	0	Lesko, Nancy	2010	Zeitschriftenaufsatz	Sex Education: Sexuality, Society and Learning	Feeling abstinent?	1 Sozialer Kontext; 1.2 Diskurse; 2 Institutioneller Kontext; 2.2 Einrichtungstypen; 2.2.3 Schule; 3 Fokus; 3.1 Sexualpädagogik	Curriculum; Schule // school; Sexualität // sexuality; Sexuelle Bildung // sexuality education	993
1	0	0	Limmer, Mark	2010	Zeitschriftenaufsatz	Sex Education: Sexuality, Society and Learning	Young men, masculinities and sex education	1 Sozialer Kontext; 1.4 Identitäten; 1.4.1 Gender; 3 Fokus; 3.1 Sexualpädagogik; 5 Adressat_innen; 5.2 Jugendliche	Jungen // boys; Männlichkeit // masculinity; Sexualerziehung // sex ed; sexuelle Gesundheit // sexual health; Sozialisation // socialization	996
1	0	0	Myers, Kristen; Raymond, Laura	2010	Zeitschriftenaufsatz	Gender & Society	Elementary School Girls and Heteronormativity	1 Sozialer Kontext; 1.4 Identitäten; 1.4.1 Gender; 2 Institutioneller Kontext; 2.2 Einrichtungstypen; 2.2.2 Grundschule; 2.2.3 Schule; 5 Adressat_innen; 5.1 Kinder	Geschlechterrolle // gender role; Grundschule // elementary school; Gruppensettings // group settings; Heteronormativität // heteronormativity; Kinder; Sexualität // sexuality	837
1	0	0	Niehaus, Ashley F.; Jackson, Joan; Davies, Stephanie	2010	Zeitschriftenaufsatz	Archives of Sexual Behavior	Sexual self-schemas of female child sexual abuse survivors	1 Sozialer Kontext; 1.4 Identitäten; 1.4.1 Gender; 5 Adressat_innen; 5.1 Kinder; 5.2 Jugendliche; 6 Gewalt; 6.2 Art; 6.2.2 Missbrauch; 6.2.4 Übergriff	Folgen // long-term effects; Jugendliche und junge Erwachsene; Kinder; Risikoverhalten // risk behavior; Selbstkonzept // self-concept; sexueller Kindesmissbrauch; Sexueller Übergriff // sexual assault	1632
1	0	0	Nixon, David	2010	Zeitschriftenaufsatz	Teaching and Teacher Education	Discrimination, performance and recuperation	1 Sozialer Kontext; 1.4 Identitäten; 1.4.2 LGBT; 2 Institutioneller Kontext; 2.2 Einrichtungstypen; 2.2.3 Schule; 4 Fachkräfte; 4.1 Intern	Geschlecht // gender; Homosexualität; Lehrer*innen // Teachers; Schulklima // school climate; Sozialwissenschaften // social science	861
1	0	0	O'Leary, Patrick J.; Gould, Nick	2010	Zeitschriftenaufsatz	The British Journal of Social Work	Exploring Coping Factors amongst Men Who Were Sexually Abused in Childhood	1 Sozialer Kontext; 1.4 Identitäten; 1.4.1 Gender; 5 Adressat_innen; 5.1 Kinder; 6 Gewalt; 6.2 Art; 6.2.2 Missbrauch; 6.4 Resilienz	Bewältigung // coping; Männer // men; Opfer // victim; Psychische Gesundheit; sexueller Kindesmissbrauch	758
1	0	0	Ollis, Debbie	2010	Zeitschriftenaufsatz	Sex Education: Sexuality, Society and Learning	‘I haven't changed bigots but …’	1 Sozialer Kontext; 1.4 Identitäten; 1.4.2 LGBT; 2 Institutioneller Kontext; 2.2 Einrichtungstypen; 2.2.3 Schule; 3 Fokus; 3.1 Sexualpädagogik; 3.2 Gewaltprävention; 4 Fachkräfte; 4.1 Intern; 6 Gewalt; 6.2 Art; 6.2.5 Diskriminierung	Diskriminierung // discrimination; Homofeindlichkeit // homophobia; Lehrer*innen // Teachers; Prävention // prevention; Sexuelle Bildung // sexuality education	990
0	0	0	Powell, Anastasia	2010	Buch (Monographie)		Sex, Power and Consent	1 Sozialer Kontext; 1.2 Diskurse; 5 Adressat_innen; 5.2 Jugendliche; 7 Sexualität; 7.1 Beziehungsgestaltung; 7.2 Selbstbestimmung; 7.3 Sexuelle Erfahrungen	Jugendliche und junge Erwachsene; Konsens // consent; Macht // power; Sex // sex	798
1	0	0	Rudoe, Naomi	2010	Zeitschriftenaufsatz	Sex Education: Sexuality, Society and Learning	Lesbian teachers' identity, power and the public/private boundary	1 Sozialer Kontext; 1.4 Identitäten; 1.4.2 LGBT; 2 Institutioneller Kontext; 2.2 Einrichtungstypen; 2.2.3 Schule; 4 Fachkräfte; 4.1 Intern	Coming out; Heteronormativität // heteronormativity; Homofeindlichkeit // homophobia; Lehrer*innen // Teachers; lesbisch // lesbian; Professionalität // professionality; queer; Schule // school; Schulklima // school climate	987
1	0	0	Rysst, Mari	2010	Zeitschriftenaufsatz	Childhood	'I Am Only Ten Years Old'	1 Sozialer Kontext; 1.2 Diskurse; 1.3 Medien und Technologie; 1.4 Identitäten; 1.4.1 Gender; 5 Adressat_innen; 5.1 Kinder; 7 Sexualität; 7.2 Selbstbestimmung	Geschlecht // gender; Mädchen // girls; Medien // media; Selbstbestimmung // agency; Selbstkonzept // self-concept; Sexualisierung // sexualization; Weiblichkeit // femininity	795
1	0	0	Wilson, Helen W.; Spatz Widom, Cathy	2010	Zeitschriftenaufsatz	Archives of Sexual Behavior	Does Physical Abuse, Sexual Abuse, or Neglect in Childhood Increase the Likelihood of Same-sex Sexual Relationships and Cohabitation?	1 Sozialer Kontext; 1.4 Identitäten; 1.4.2 LGBT; 5 Adressat_innen; 6 Gewalt; 6.2 Art; 6.2.2 Missbrauch	Sexuelle Orientierung // sexual orientation; sexueller Kindesmissbrauch; Vernachlässigung // neglect	656
1	0	0	Allen, Louisa	2011	Zeitschriftenaufsatz	Pedagogy, Culture & Society	‘Undoing’ the self	1 Sozialer Kontext; 1.4 Identitäten; 1.4.2 LGBT; 2 Institutioneller Kontext; 2.2 Einrichtungstypen; 2.2.5 Universität; 4 Fachkräfte; 4.1 Intern	Heteronormativität // heteronormativity; Heterosexualität // heterosexuality; Lehrer*innen // Teachers; Professionalität // professionality; queer	847
1	0	0	Attwood, Feona; Smith, Clarissa	2011	Zeitschriftenaufsatz	Sex Education: Sexuality, Society and Learning	Investigating young people's sexual cultures	1 Sozialer Kontext; 1.2 Diskurse; 3 Fokus; 3.1 Sexualpädagogik; 5 Adressat_innen; 5.2 Jugendliche; 7 Sexualität; 7.1 Beziehungsgestaltung; 7.3 Sexuelle Erfahrungen; 8 Forschung; 8.3 Methodologie	Jugendliche und junge Erwachsene; Sexualkultur // sexuality culture; sexuelles Verhalten // sexual behaviour	352
1	0	1	Bale, Clare	2011	Zeitschriftenaufsatz	Sex Education: Sexuality, Society and Learning	Raunch or romance?	1 Sozialer Kontext; 1.2 Diskurse; 1.3 Medien und Technologie; 5 Adressat_innen; 5.2 Jugendliche; 7 Sexualität; 7.1 Beziehungsgestaltung; 7.2 Selbstbestimmung; 7.3 Sexuelle Erfahrungen	Jugendliche und junge Erwachsene; Selbstbestimmung // agency; Sexualisierung // sexualization; Sexualität // sexuality; Sexualkultur // sexuality culture; sexuelle Erfahrung // sexual experience	1007
1	0	0	Biswas, Bipasha; Vaughn, Michael G.	2011	Zeitschriftenaufsatz	Children and Youth Services Review	Really troubled girls	1 Sozialer Kontext; 1.4 Identitäten; 1.4.1 Gender; 1.4.3 Schicht; 2 Institutioneller Kontext; 2.2 Einrichtungstypen; 2.2.6 Jugendamt; 2.2.10 Gefängnis; 3 Fokus; 3.2 Gewaltprävention; 5 Adressat_innen; 5.2 Jugendliche; 6 Gewalt; 6.1 Täter*in; 6.1.1 Peer; 6.2 Art; 7 Sexualität; 7.3 Sexuelle Erfahrungen	Delinquenz // delinquency; Drogenkonsum // substance abuse; Geschlecht // gender; Gesundheit // health; Heim // residential care; Kinder; Mädchen // girls; Risikoverhalten // risk behavior; sexuelles Risiko // sexual risk; sexuelles Verhalten // sexual behaviour; Soziale Arbeit und Dienste // social work and services; Strafrecht // criminal justice; Sucht // addiction; Trauma // trauma; Vulnerabilität // vulnerability	905
1	0	0	Bragg, Sara; Buckingham, David; Russell, Rachel; Willett, Rebekah	2011	Zeitschriftenaufsatz	Sex Education: Sexuality, Society and Learning	Too much, too soon?	1 Sozialer Kontext; 1.2 Diskurse; 1.3 Medien und Technologie; 1.4 Identitäten; 1.4.3 Schicht; 5 Adressat_innen; 5.1 Kinder; 5.3 Eltern; 7 Sexualität	Diskurs // discourse; Eltern; Kinder; Sexualisierung // sexualization	1006
1	0	0	Fader Wilkenfeld, B.; Ballan, Michelle S.	2011	Zeitschriftenaufsatz	Sexuality and Disability	Educators’ Attitudes and Beliefs Towards the Sexuality of Individuals with Developmental Disabilities	1 Sozialer Kontext; 1.4 Identitäten; 1.4.6 Behinderungen; 2 Institutioneller Kontext; 2.2 Einrichtungstypen; 2.2.3 Schule; 3 Fokus; 3.2 Gewaltprävention; 4 Fachkräfte; 4.1 Intern; 7 Sexualität	Behinderung // disability; Einstellungen // attitudes; Konsens // consent; Lehrer*innen // Teachers; Sexuelle Entwicklung // sexual development; sexuelle Erfahrung // sexual experience; sexuelle Rechte // sexual rights; sexuelles Verhalten // sexual behaviour	1148
1	0	0	Formby, Eleanor	2011	Zeitschriftenaufsatz	Sex Education: Sexuality, Society and Learning	Sex and relationships education, sexual health, and lesbian, gay and bisexual sexual cultures	1 Sozialer Kontext; 1.4 Identitäten; 1.4.2 LGBT; 3 Fokus; 3.1 Sexualpädagogik; 5 Adressat_innen; 5.2 Jugendliche; 8 Forschung; 8.4 Ergebnisse	Bisexualität // bisexuality; Jugendliche und junge Erwachsene; lesbisch // lesbian; schwul // gay; Sexualkultur // sexuality culture; Sexuelle Bildung // sexuality education; sexuelle Gesundheit // sexual health; sexuelle Rechte // sexual rights	1005
0	0	0	Gakhal, Baldeesh Kaur; Brown, Sarah J.	2011	Zeitschriftenaufsatz	Journal of Sexual Aggression	A comparison of the general public's, forensic professionals' and students' attitudes towards female sex offenders	1 Sozialer Kontext; 1.2 Diskurse; 1.4 Identitäten; 1.4.1 Gender; 3 Fokus; 3.2 Gewaltprävention; 4 Fachkräfte; 4.2 Extern; 6 Gewalt; 6.1 Täter*in; 6.1.2 Erwachsene; 6.2 Art; 6.2.2 Missbrauch; 8 Forschung; 8.4 Ergebnisse	Einstellungen // attitudes; Female; Täter*in // offender	200
0	0	0	Genna, Natacha M. de; Larkby, Cynthia; Cornelius, Marie D.	2011	Zeitschriftenaufsatz	Journal of Youth and Adolescence	Pubertal timing and early sexual intercourse in the offspring of teenage mothers	1 Sozialer Kontext; 1.4 Identitäten; 1.4.1 Gender; 3 Fokus; 3.1 Sexualpädagogik; 5 Adressat_innen; 5.2 Jugendliche; 7 Sexualität; 7.3 Sexuelle Erfahrungen; 8 Forschung; 8.4 Ergebnisse	Jugendliche und junge Erwachsene; Pubertät // Puberty; Schwangerschaft // pregnancy; sexuelles Verhalten // sexual behaviour	1770
